Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Dolly Parton	9 to 5				keine	1	2026-07-14T13:36:51.000Z	keine lokale Zuordnung gefunden
Dolly Parton	Holdin' On to You				keine	1	2026-07-14T04:39:07.000Z	keine lokale Zuordnung gefunden
Dolly Parton	More Where That Came From				keine	1	2026-07-15T11:07:31.000Z	keine lokale Zuordnung gefunden
Dolly Parton	Pure and Simple				keine	1	2026-07-15T03:01:34.000Z	keine lokale Zuordnung gefunden
Don Vickers	Judgement Day				keine	1	2026-07-14T21:24:07.000Z	keine lokale Zuordnung gefunden
Don Williams	Restless				keine	1	2026-07-15T15:33:21.000Z	keine lokale Zuordnung gefunden
Don Williams	Some Broken Heart				keine	2	2026-07-14T18:50:53.000Z	keine lokale Zuordnung gefunden
Donna Boyd	I Miss Who I Was With You				keine	1	2026-07-13T21:39:06.000Z	keine lokale Zuordnung gefunden
Donna Fargo	Don´t Be Angry				keine	1	2026-07-15T14:22:20.000Z	keine lokale Zuordnung gefunden
Dori Freeman	Fine Fine Fine				keine	2	2026-07-15T15:30:27.000Z	keine lokale Zuordnung gefunden
Doug Adkins	Lonesome --> Lonesome				keine	1	2026-07-15T01:28:59.000Z	keine lokale Zuordnung gefunden
Doug Adkins	Whiskey Salesman				keine	1	2026-07-13T23:30:03.000Z	keine lokale Zuordnung gefunden
Doug Seegers	Give It Away				keine	1	2026-07-14T05:55:44.000Z	keine lokale Zuordnung gefunden
Doug Seegers	Walking On The Edge Of The World				keine	1	2026-07-15T12:29:50.000Z	keine lokale Zuordnung gefunden
Drew Fish Band	Sounds Like A Plan				keine	1	2026-07-14T23:00:47.000Z	keine lokale Zuordnung gefunden
Duane Steele	Livin' Backwards				keine	1	2026-07-14T01:53:23.000Z	keine lokale Zuordnung gefunden
Dustin Craig	Alittle Bit of Nothing				keine	1	2026-07-15T02:48:24.000Z	keine lokale Zuordnung gefunden
Dustin Craig	Last Ride				keine	1	2026-07-14T13:26:40.000Z	keine lokale Zuordnung gefunden
